sample,tth,e_tth,area,e_area,fwhm,e_fwhm,eta,e_eta,window_chi2r,at_fwhm_floor,seed_tth,delta_chi2,p_asymptotic,p_bootstrap,p_empirical_floor,effective_dof,detected,seed_offset,detection_unmatched,is_perovskite,phase,d_A
passivator-01,40.486799,0.00316,81.002775,3.857448,0.176735,0.012398,0.416865,0.1455416305,1.357010471,False,40.518598,1155.045279,4.156421495e-250,5.419645671e-209,0.002493765586,2.465504,True,0.031799,False,True,perovskite,2.228035
passivator-01,43.060035,0.005745,28.271565,2.379556,0.129371,0.022803,0.815588,0.2615184193,1.031027545,False,43.068598,299.754839,1.12416113e-64,1.242617582e-55,0.002493765586,2.305579,True,0.008563,False,True,perovskite,2.100665
passivator-02,12.806604,0.018356,11.027594,3.153881,0.322873,0.058154,0.467459,0.6675924349,1.123077322,False,12.737359,77.465934,1.072712258e-16,4.811457501e-15,0.002493765586,2.932277,True,0.069244,False,False,minor,6.912456
passivator-02,14.141388,0.006352,42.730494,4.1451,0.337443,0.016539,0.094585,0.2516614244,1.123077322,False,14.137359,602.788635,2.505257272e-130,4.088374201e-92,0.002493765586,2.397955,True,0.004028,False,True,perovskite,6.262861
passivator-02,20.051357,0.008335,32.77871,4.553048,0.271113,0.029323,0.621639,0.3020550234,0.9606481556,False,19.987359,305.30246,7.08164289e-66,6.314750297e-48,0.002493765586,2.113446,True,0.063997,False,True,perovskite,4.428296
passivator-02,21.444018,0.078327,9.347339,21.564795,0.658751,0.290245,0,4.271559056,0.9606481556,False,21.187359,13.054642,0.004519917634,0.008643738232,0.007481296758,2.523646,False,0.256659,False,False,not detected,4.14375
passivator-02,24.565569,0.013381,18.2482,5.946297,0.302653,0.037815,0,0.8895090013,1.062308874,False,24.537359,138.844787,6.707137623e-30,7.302636351e-29,0.002493765586,2.657198,True,0.02821,False,True,perovskite,3.62382
passivator-02,26.837359,7402.017112,0.001,199.457653,1.2,82458.37626,1,139190.2301,1.210924671,False,26.487359,-1.2e-05,1,1,1,2.267851,False,0.35,False,False,not detected,3.322
passivator-02,28.395099,0.007269,40.017831,6.613895,0.298716,0.020539,0,0.4561935056,1.025924088,False,28.337359,434.98542,5.83832868e-94,3.147293731e-79,0.002493765586,2.365841,True,0.05774,False,True,perovskite,3.143201
passivator-02,30.338965,0.025791,26.569251,9.227568,0.430115,0.11466,1,0.5498432294,1.387968685,False,30.387359,77.310653,1.158182616e-16,2.668355127e-14,0.002493765586,2.355605,True,0.048394,False,False,minor,2.946096
passivator-02,31.859884,0.005102,47.989902,5.096734,0.245473,0.015047,0,0.3031748863,1.387968685,False,31.837359,599.792088,1.118061114e-129,2.064595991e-107,0.002493765586,2.35778,True,0.022525,False,True,perovskite,2.808843
passivator-02,35.033821,0.013197,32.968277,10.381681,0.433735,0.037483,0.108902,0.7584334606,2.331860314,False,34.937359,283.027494,4.685343422e-61,1.42785277e-50,0.002493765586,2.262933,True,0.096462,False,True,perovskite,2.561304
passivator-02,40.571514,0.004183,73.417236,4.417131,0.220634,0.015993,0.468559,0.1739033294,0.8852840955,False,40.587359,954.537742,1.309344223e-206,2.651554384e-188,0.002493765586,2.535092,True,0.015846,False,True,perovskite,2.223578
passivator-02,43.132975,0.00915,26.383968,4.392665,0.252872,0.035019,0.34842,0.470622414,1.062690827,False,43.137359,260.445318,3.601423553e-56,3.768659825e-51,0.002493765586,2.65581,True,0.004385,False,True,perovskite,2.097281
passivator-03,13.031458,0.04289,4.286128,2.533633,0.294923,0.188136,1,1.152636978,1.466087526,False,12.950159,11.018716,0.01162509778,0.01898041004,0.01246882793,2.724238,False,0.081299,False,False,not detected,6.793685
passivator-03,14.363835,0.00802,43.887762,5.249435,0.450821,0.020378,0,0.3044773963,1.466087526,False,14.350159,651.938563,5.534111595e-141,1.661063086e-92,0.002493765586,2.477778,True,0.013676,False,True,perovskite,6.166368
passivator-03,20.265119,0.014254,28.286567,6.181874,0.398094,0.049895,0.63945,0.4171845171,1.341886112,False,20.200159,190.442424,4.898213336e-41,9.940285661e-35,0.002493765586,2.592741,True,0.06496,False,True,perovskite,4.382066
passivator-03,21.750159,0.070445,10.330639,18.759872,0.52253,0.362554,1,1.675172315,1.341886112,False,21.400159,6.471457,0.09079497813,0.09308533063,0.0897755611,2.781207,False,0.35,False,False,not detected,4.086112
passivator-03,24.786192,0.025664,11.44568,7.686977,0.387894,0.071392,0,1.712422376,1.003169478,False,24.750159,59.177448,8.809677022e-13,1.787178699e-10,0.002493765586,2.287048,True,0.036033,False,True,perovskite,3.592063
passivator-03,26.855046,0.037419,1.350235,1.330021,0.06,0.064973,0.598959,3.48971976,1.728011503,True,26.700159,2.602361,0.4570758262,0.4174003133,0.391521197,2.527052,False,0.154887,False,False,not detected,3.319852
passivator-03,28.621718,0.008194,44.581743,7.894447,0.372888,0.022297,0,0.4654045155,0.9870071962,False,28.550159,509.801,3.585990471e-110,4.46245495e-82,0.002493765586,2.173446,True,0.071559,False,True,perovskite,3.118827
passivator-03,30.5348,0.032489,32.068681,18.400705,0.696451,0.113823,0.573528,0.8784949998,0.932164666,False,30.600159,104.819638,1.428735153e-22,2.162642602e-19,0.002493765586,2.304066,True,0.065359,False,False,minor,2.927646
passivator-03,32.073148,0.010431,27.856894,5.457712,0.308381,0.033852,0.33721,0.4861369316,0.932164666,False,32.050159,229.048519,2.220923485e-49,4.823085969e-41,0.002493765586,2.372093,True,0.022989,False,True,perovskite,2.790651
passivator-03,35.29706,0.012471,40.760375,13.059999,0.501956,0.033079,0,0.7667382384,1.18519667,False,35.150159,375.890674,3.689766847e-81,8.272591748e-74,0.002493765586,2.500383,True,0.146901,False,True,perovskite,2.542804
